text,label
"It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.",positive
"Great for iPODs too.",positive
"This device is great in several situations:1.)",positive
"Mic Doesn't work.",negative
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",negative
"Great choice!",positive
"Nice docking station for home or work.",positive
"This is a beautiful phone.",positive
"Love this product.",positive
"Do Not Buy for D807...wrongly advertised for D807.",negative
"This is a great little item.",positive
"I love this phone , It is very handy and has a lot of features .",positive
"I purchased this and within 2 days it was no longer working!!!!!!!!!",negative
"I wear it everyday and it holds up very well.",positive
"Not a good bargain.",negative
"Well packaged, arrived on time, and works as intended.",positive
"The battery runs down quickly.",negative
"This item worked great, but it broke after 6 months of use.",negative
"The headsets are easy to use and everyone loves them.",positive
"This phone works great.",positive
"The construction of the headsets is poor.",negative
"Product was excellent and works better than the verizon one and Boy was it cheaper!",positive
"The phone loads super!",positive
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",negative
"Made very sturdy.",positive
"Worked great!.",positive
"The ear buds only play music in one ear.",negative
"Dont waste your money...",negative
"Will order from them again!",positive
"If you plan to use this in a car forget about it.",negative
"I found this product to be waaay too big.",negative
"Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.",positive
"I'm very disappointed with my decision.",negative
"Integrated seamlessly with the Motorola RAZR phone.",positive
"Buyer Beware, you could flush money right down the toilet.",negative
"Definitely a bargain.",positive
"The price was very good and with the free shipping and all it was a good purchase.",positive
"I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.",negative
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",positive
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",negative
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",positive
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",negative
"I purcashed this for the car charger and it does not work.",negative
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",positive
"This phone is slim and light and the display is beautiful.",positive
"its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.",positive
"Great product, fast shipping!.",positive
"Absolutely great.",positive
"The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.",positive
"i got this phone around the end of may and i'm completely unhappy with it.",negative
"It is very comfortable on the ear.",positive
"It has been a winner for us.",positive
")Setup couldn't have been simpler.",positive
"I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.",positive
"Could not get strong enough signal.",negative
"Iam very pleased with my purchase.",positive
"Bad Quality.",negative
"Gets the job done.",positive
"Great audio!.",positive
"Basically the service was very bad.",negative
"it did not work in my cell phone plug i am very up set with the charger!.",negative
"I've only had my bluetooth for a few weeks, but I really like it.",positive
"The BT headset was such a disapoinment.",negative
"It is so small and you don't even realize that it is there after a while of getting used to it.",positive
"The accompanied software is almost brilliant.",positive
"Headset works great & was packaged nicely to avoid any damage.",positive
"!I definitly recommend!!",positive
"Buyer--Be Very Careful!!!!!.",negative
"The majority of the Logitech earbud headsets failed.",negative
"Very good stuff for the price.",positive
"My headset works just peachy-keen.",positive
"In my house I was getting dropped coverage upstairs and no coverage in my basement.",negative
"Voice recognition is tremendous!",positive
"What a waste.",negative
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",negative
"I was not happy with this item.",negative
"very disappointed.",negative
"The phone takes FOREVER to charge like 2 to 5 hours literally.",negative
"I got this phone on reccomendation from a relative and I'm glad I did.",positive
"What a waste of time!",negative
"Its reception is very very poor.",negative
"Items stated as included from the description ARE NOT INCLUDED.",negative
"After 3 months, screen just went black all of a sudden.",negative
"I Was Hoping for More.",negative
"Audio Quality is poor, very poor.",negative
"I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!",positive
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",positive
"I've bought $5 wired headphones that sound better than these.",negative
"This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.",positive
"Nice quality build, unlike some cheap s*** out there.",positive
"This item is fantastic and works perfectly!",positive
"And I just love the colors!",positive
"W810i is just SUPERB.",positive
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",negative
"Great charger.",positive
"This is essentially a communications tool that does not communicate.",negative
"Works like a charm; it work the same as the one I got with the phone.",positive
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",negative
"Great Value.",positive
"Doesn't work at all.. I bougth it for my L7c and its not working.",negative
"The look of it is very sharp and the screen is nice and clear, with great graphics.",positive
"doesn't last long.",negative
"One thing I hate is the mode set button at the side.",negative
"EXCELLENT SERVICE!!!!!!!!.",positive
"Thank you for wasting my money.",negative
"How can that be?The audio quality is poor.",negative
"The iGo chargers and tips are really great.",positive
"The file browser offers all the options that one needs.Handsfree is great.",positive
"Superb Phone on a Great Network.",positive
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",positive
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",negative
"It only recognizes the Phone as its storage device.",negative
"If you like a loud buzzing to override all your conversations, then this phone is for you!",negative
"Don't buy this product.",negative
"I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.",negative
"The sound quality is good and functionality is awesome.",positive
"I have this phone and it is a thorn in my side, I really abhor it.",negative
"I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.",negative
"Incredible!.",positive
"Design Flaw?.",negative
"Great phone!.",positive
"Waste of 13 bucks.",negative
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",negative
"The replacement died in a few weeks.",negative
"Any ring tone..Overall good phone to buy..",positive
"Lately they have been extremely nice and helpful on the phone.",positive
"I have had problems wit hit dropping signal and more.",negative
"Not impressed.",negative
"Light weight, I hardly notice it is there.",positive
"You'll love how thin it is.",positive
"Bad Choice.",negative
"The pleather case doesn't fit.",negative
"useless phone, simply deaf.",negative
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",positive
"All in all I think it was a good investment.",positive
"It makes very strange ticking noises before it ends the call.",negative
"The best electronics of the available FM Transmitters.",positive
"Battery lasts only a few hours.",negative
"great headset, very impressed - H500.",positive
"The 1.2 mega pixel camera, being a part of a phone, is reasonably good7.",positive
"I've had this for nearly 2 years and it has worked great for me.",positive
"Good transmit audio.",positive
"We are sending it back.",negative
"I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.",negative
"If you hate earbugs, avoid this phone by all means.",negative
"Great price also!",positive
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",positive
"fast service.",positive
"I would highly recommend this.",positive
"I would recommend this.",positive
"I also didn't like the on button, it felt like it would crack with use.",negative
"WORST PHONE EVER.",negative
"I'm still infatuated with this phone.",positive
"Freezes frequently4.",negative
"It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.",negative
"Simple, lightweight and great fit.",positive
"All in all, I'd expected a better consumer experience from Motorola.",negative
"There's a horrible tick sound in the background on all my calls that I have never experienced before.",negative
"These are certainly very comfortable and functionality is decent.",positive
"I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.",positive
"I'm a bit disappointed.",negative
"I have had this phone for over a year now, and I will tell you, its not that great.",negative
"I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).",negative
"The battery is completely useless to me.",negative
"What a big waste of time.",negative
"Don't waste your $$$ on this one.",negative
"Great sound and service.",positive
"Really pleased with this product so far.",positive
"One of my favorite purchases ever.",positive
"best bluetooth on the market.",positive
"Authentic leather with nice shine and comfort .I recommend you this case !!",positive
"I was very excited to get this headset because I thought it was really cute.",positive
"Do not make the same mistake as me.",negative
"Big Disappointment with calendar sync.",negative
"the phone was unusable and was not new.",negative
"Worst Customer Service Ever.",negative
"No additional ear gels provided, and no instructions whatsoever.",negative
"It defeats the purpose of a bluetooth headset.",negative
"Worth every penny.",positive
"Excellent wallet type phone case.",positive
"Nice headphones for the price and they work great!",positive
"Internet is excrutiatingly slow.",negative
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",positive
"It's fits like a glove and is strong, secure, and durable.",positive
"O my gosh the best phone I have ever had.",positive
"It's very attractive and appears to be of good quality.",positive
"I love all the features and form factor.",positive
"This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it",negative
"poor quality and service.",negative
"The cable looks so thin and flimsy, it is scary.",negative
"Great Earpiece.",positive
"Excellent hands free tool.",positive
"Great for using with your home stereo.",positive
"Good product - incredible value.",positive
"Only had this a month but it's worked flawlessly so far.",positive
"Works great.",positive
"Absolutel junk.",negative
"THAT one didn't work either.",negative
"Battery life is real good.",positive
"Returned 8 hours later.",negative
"It's a great item.",positive
"Don't waste your money!.",negative
"Love this headset!",positive
"Not only will it drain your player, but may also potentially fry it.",negative
"Worked perfectly!",positive
"Unreliable - I'm giving up.",negative
"I gave it 5 stars because of the sound quality.",positive
"Avoid this one if you can.",negative
"Reversible plug works great.",positive
"I wasted my little money with this earpiece.",negative
"Very good phone.",positive
"Best of all is the rotating feature, very helpful.",positive
"Comfort for our whole family.",positive
"Good product, good seller.",positive
"I love this bluetooth!",positive
"First of all, it doesn't wear well.",negative
"I am very impressed with this headset from Plantronics.",positive
"I got it because it was so small and adorable.",positive
"Great phone!.",positive
"I wouldn't recommend buying this product.",negative
"Piece of Junk.",negative
"Poorly contstruct hinge.",negative
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",positive
"Great Phone.",positive
"Don't buy it.",negative
"Excellent Phone.",positive
"DO NOT PURCHASE THIS PHONE.",negative
"The voice recognition thru the handset is excellent.",positive
"This is hands down the best phone I've ever had.",positive
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",positive
"This one works and was priced right.",positive
"Customer service was terrible.",negative
"Battery life still not long enough in Motorola Razor V3i.",negative
"Sending it back.",negative
"Now I know that I made a wise decision.",positive
"Someone shouldve invented this sooner.",positive
"Good price.",positive
"Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.",positive
"I received it quickly and it works great!!",positive
"Has been working great.",positive
"As many people complained, I found this headset's microphone was very weak.",negative
"My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.",negative
"They do not care about the consumer one bit.",negative
"This is a good battery, and it got here really fast.",positive
"The instruction manual is lacking.",negative
"Also its slim enough to fit into my alarm clock docking station without removing the case.",positive
"Phone now holds charge like it did when it was new.",positive
"The battery is unreliable as well as the service use antena.",negative
"It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).",negative
"We have gotten a lot of compliments on it.",positive
"This is definitely a must have if your state does not allow cell phone usage while driving.",positive
"I want my money back.",negative
"I love this device.",positive
"I am also very happy with the price.",positive
"I ordered this product first and was unhappy with it immediately.",negative
"The Ngage is still lacking in earbuds.",negative
"I was able to do voice dialing in the car with no problem.",positive
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",negative
"good item, low price.",positive
"However-the riingtones are not the best, and neither are the games.",negative
"The plug did not work very well.",negative
"AMAZON SUCKS.",negative
"Rip off---- Over charge shipping.",negative
"VERY comfortable.",positive
"The battery is working well as a replacement for the original that came with the phone over 2 years ago.",positive
"The reception is excellent!",positive
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",positive
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",positive
"1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.",negative
"Obviously there is a problem with the adhesive.",negative
"Very disappointing.",negative
"It was an inexpensive piece, but I would still have expected better quality.",negative
"It is practically useless and did not add any kind of boost to my reception after I bought it.",negative
"Excellent sound quality.",positive
"Was not happy.",negative
"A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!",negative
"New Battery works great in phone.",positive
"Worst customer service.",negative
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",positive
"Reception is terrible and full of static.",negative
"Good audio quality.",positive
"This little device has transformed my organizational capability and made my life a whole lot easier.",positive
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",negative
"Were JERKS on the phone.",negative
"Works like a charm.. Works as advertised.",positive
"Comfortable, Nice Range, Good Battery Life.",positive
"Their network coverage in Los Angeles is horrible.",negative
"Excellent starter wireless headset.",negative
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",negative
"The only thing that I think could improve is the sound leaks out from the headset.",negative
"First off the reception sucks, I have never had more than 2 bars, ever.",negative
"The phone gets EXTREMELY HOT!",negative
"The microphone also works well, but (according to people I have called) it applifies everything.",positive
"Nice design and quality.",positive
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",negative
"It is light, easy to use, and has very clear reception and transmission.",positive
"bad fit, way too big.",negative
"It definitely was not as good as my S11.",positive
"awesome device.",positive
"Waste of money.",negative
"I had ordered a motorola data cable, got a very well finished and working product.",positive
"Love This Phone.",positive
"I was looking for this headset for a long time and now that I've got it I couldn't be happier.",positive
"I'll be drivng along, and my headset starts ringing for no reason.",negative
"Display is excellent and camera is as good as any from that year.",positive
"Battery life is also great!",positive
"The worst phone I've ever had.... Only had it for a few months.",negative
"Not a good item.. It worked for a while then started having problems in my auto reverse tape player.",negative
"This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.",negative
"Protects the phone on all sides.",positive
"This is a VERY average phone with bad battery life that operates on a weak network.",negative
"Clear Skype Calls, Long Battery Life, Long Range.",positive
"Soyo technology sucks.",negative
"Great Hands Free Device.",positive
"you can even take self portraits with the outside (exterior) display, very cool.",positive
"Same problem as others have mentioned.",negative
"After trying many many handsfree gadgets this is the one that finally works well.",positive
"Magical Help.",positive
"The worst piece of crap ever along with the Verizon customer service.",negative
"Poor sound quality.",negative
"The best phone in market :).",positive
"It worked very well.",positive
"The company shipped my product very promptly and it works well.",positive
"Exactly what I wanted.",positive
"The picture resolution is far below what other comparably-priced phones are offering today.",negative
"This is a great deal.",positive
"Excellent product, I am very satisfied with the purchase.",positive
"I highly recommend these and encourage people to give them a try.",positive
"Better than you'd expect.",positive
"Using all earpieces, left or right, this thing will not stay on my ear.",negative
"Great product and price.",positive
"Sounds good reasonably priced and effective, Its that simple !",positive
"Still Waiting...... I'm sure this item would work well.. if I ever recieve it!",negative
"what a disappointment",negative
"Very prompt service.",positive
"Excellent product for the price.",positive
"Very pleased with this headset.",positive
"don't waste your money and time.",negative
"I especially love the long battery life.",positive
"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",negative
"Works great.",positive
"Plantronics Bluetooth Excelent Buy.",positive
"I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.",negative
"I'll be looking for a new earpiece.",negative
"I highly recommend this device to everyone!",positive
"Jawbone Era is awesome too!",positive
"We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement",negative
"After a year the battery went completely dead on my headset.",negative
"I have used several phone in two years, but this one is the best.",positive
"An Awesome New Look For Fall 2000!.",positive
"This is the first phone I've had that has been so cheaply made.",negative
"Att is not clear, sound is very distorted and you have to yell when you talk.",negative
"The plastic breaks really easy on this clip.",negative
"Price is good too.",positive
"Don't make the same mistake I did.",negative
"Oh and I forgot to also mention the weird color effect it has on your phone.",negative
"I'm using it with an iriver SPINN (with case) and it fits fine.",positive
"Also the area where my unit broke).- I'm not too fond of the magnetic strap.",negative
"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",positive
"every thing on phone work perfectly, she like it.",positive
"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",negative
"IT'S REALLY EASY.",positive
"My Sanyo has survived dozens of drops on blacktop without ill effect.",positive
"Fantastic earphones.",positive
"It finds my cell phone right away when I enter the car.",positive
"Low Quality.",negative
"I highly recommend this modest priced cellular phone.",positive
"But it does get better reception and clarity than any phone I've had before.",positive
"Warning - Stay away.",negative
"I wish I could return the unit and get back my money.",negative
"Awsome Device Works Great!!.",positive
"I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.",negative
"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",negative
"Very Displeased.",negative
"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",negative
"They made this case too small and is very difficult to install.",negative
"Restored my phone to like new performance.",positive
"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",positive
"I searched the Internet, and found this one to be the best value.",positive
"Does not fit.",negative
"Very happy with this product.",positive
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",positive
"There's really nothing bad I can say about this headset.",negative
"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",positive
"Portable and it works.",positive
"My colleague & I now get great reception.A little expensive, but performance is great.",positive
"I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.",negative
"I've also had problems with the phone reading the memory card in which I always turn it on and then off again.",negative
"Not good when wearing a hat or sunglasses.",negative
"Timely shipment and quality product.",positive
"Nice solid keyboard.",positive
"Very well made and fits my Surefire GX2 perfectly.",positive
"Horrible phone.",negative
"BT50 battery junk!.",negative
"We would recommend these to others.",positive
"Cant get the software to work with my computer.",negative
"Disappointed!.",negative
"poor voice clarity.",negative
"The battery works great!",positive
"No buyers remorse on this one!.",negative
"Very disappointed in AccessoryOne.",negative
"I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.",negative
"Looks great and is strong.",positive
"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",positive
"The update procedure is difficult and cumbersome.",negative
"Disappointment.. I hate anything that goes in my ear.",negative
"Great software for Motorolas.",positive
"The delivery was on time.",positive
"Very easy to use.",positive
"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",negative
"The volume switch rocketed out of the unit to a destination unknown.",negative
"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",positive
"I'd like to return it.",negative
"The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.",positive
"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",negative
"After charging overnight, these batteries work great.",positive
"You won't regret it!",positive
"I love this phone!.",positive
"A Disappointment.",negative
"Its not user friendly.",negative
"Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.",negative
"Then I exchanged for the same phone, even that had the same problem.",negative
"This results in the phone being either stuck at max volume or mute.",negative
"This PDA rocks.",positive
"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",positive
"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",positive
"I had Verizon 2 years ago and really liked their service.",positive
"Pretty piece of junk.",negative
"Plug was the wrong size.",negative
"Works as described.",positive
"Save your money.... I've had this item for 11 months now.",negative
"Bad Purchase.",negative
"WELL IM SATISFIED.",positive
"The bose noise cancelling is amazing, which is very important for a NYC commuter.",positive
"This battery is an excellent bargain!",positive
"Defective crap.",negative
"I would have given no star if I was able.",negative
"I wear glasses and it fits fine with them.",positive
"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",negative
"I would not recommend this item to anyone.",negative
"The holster that arrived did not match the photo in the ad.",negative
"great...no problems at all!.",positive
"As an earlier review noted, plug in this charger and nothing happens.",negative
"This frog phone charm is adorable and very eye catching.",positive
"You never know if you pushed it hard enough or the right number of times for the function you want or not.",negative
"The sound is clear and the people I talk to on it are amazed at the quality too.",positive
"I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.",positive
"very good product, well made.",positive
"Mobile Phone Tools are a must have.",positive
"I am very impressed with the job that Motorola did on the sturdiness of this phone.",positive
"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",positive
"The phone is sturdy and waterproof.",positive
"I am not impressed with this and i would not recommend this item to anyone.",negative
"My only complaint is the standard sound volume is a little low even when turned up to 5(of 5)",negative
"Thanks again to Amazon for having the things I need for a good price!",positive
"I ended up sliding it on the edge of my pants or back pockets instead.",positive
"I had to go to a store and bought a new NOKIA phone which is working great.",positive
"Works great!.",positive
"REALLY UGLY.",negative
"horrible, had to switch 3 times.",negative
"The noise shield is incrediable.",positive
"No real improvement.",negative
"Razr Battery - Good buy.",positive
"Keep up the good work Amazon!!",positive
"They refuse to refund or replace.",negative
"Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.",negative
"So I basically threw my money out the window for nothing.",negative
"Great case and price!",positive
"All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.",negative
"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",positive
"Small, sleek, impressive looking, practical setup with ample storage in place.",positive
"The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.",positive
"none of the new ones have ever quite worked properly.",negative
"I am glad I purchased it.",positive
"I've missed numerous calls because of this reason.",negative
"Perhaps my phone is defective, but people cannot hear me when I use this.",negative
"Don't buy this product.",negative
"sucked, most of the stuff does not work with my phone.",negative
"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",positive
"Worst software ever used.... If I could give this zero stars I would.",negative
"Trying to make a call on these is an exercise in frustration.",negative
"The case is a flimsy piece of plastic and has no front or side protection whatsoever.",negative
"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",positive
"I love the camera, it's really pretty good quality.",positive
"Thank you for such great service.",positive
"Its a total package.",positive
"The seller is very understanding and patient, I would definitely buy from them again.",positive
"I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.",negative
"It's AGGRAVATING!",negative
"Great product for the price!.",positive
"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",positive
"Virgin Wireless rocks and so does this cheap little phone!",positive
"None of it works, just don't buy it.",negative
"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",negative
"Please dont waste your money.",negative
"All in all, I'm quite satisfied with this purchase.",positive
"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",negative
"Yet Plantronincs continues to use the same flawed charger design.",negative
"Disapointing Results.",negative
"Cumbersome design.",negative
"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",positive
"Great Product.",positive
"It's A PIECE OF CRAP!",negative
"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",negative
"This fixes all the problems.",positive
"Worst ever.",negative
"I am very happy",positive
"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",positive
"I can barely ever hear on it and am constantly saying what?",negative
"The battery life is highly unacceptable.",negative
"That company is a joke.",negative
"It does everything the description said it would.",positive
"Due to this happening on every call I was forced to stop using this headset.",negative
"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",positive
"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",negative
"Voice Quality, Signal Strength, Dropped Calls.",negative
"It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking, however, it's not.",positive
"Better than expected.",positive
"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",negative
"Battery is holding up well.",positive
"Also difficult to put on.I'd recommend avoiding this product.",negative
"I only used it two days, and it wasn't always easy to hear with.",negative
"I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.",negative
"Sprint - terrible customer service.",negative
"Linked to my phone without effort.",positive
"THey are so cool!",positive
"Easy to use.",positive
"Better Than New.",positive
"What possesed me to get this junk, I have no idea...",negative
"Piece of trash.",negative
"A pretty good product.",positive
"This is a great phone!.",positive
"For the price on Amazon, it is an excellent product, which I would highly recommend.",positive
"Their Research and Development division obviously knows what they're doing.",positive
"The real killer is the volume, and of course it breaking.",negative
"Those phones are working just fine now.",positive
"I am more than happy with this product.",positive
"Poor Construction.",negative
"This is infuriating.",negative
"Overall, I would recommend this phone over the new Walkman.",positive
"Sprint charges for this service.",negative
"It is cheap, and it feel and look just as cheap.",negative
"It fits my ear well and is comfortable on.",positive
"It doesn't work in Europe or Asia.",negative
"clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.",positive
"I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.",positive
"I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.",positive
